question_id,phase_key,phase_name,sequence_window,audience,category,question,spiritual_reflective_variant,primary_construct,secondary_constructs,expected_dimensions,context_relevance_prior,question_score_bias,min_answer_tokens_hint,risk_level,deep_question_requires_opt_in,status,version
CQ081,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,PRIVATE,Identität,"Welche Aussage über dich selbst wiederholst du so oft, dass sie sich wie eine Tatsache anfühlt?",Welche Geschichte über dein eigenes Wesen ist durch Wiederholung zu einer scheinbaren Wahrheit geworden?,IDENTITY_NARRATIVE,BELIEFS,"APPRECIATION,OPENNESS,AGENCY",0.82,0.0,20,HIGH,True,DRAFT,1
CQ082,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,PRIVATE,Identität,"Wer wärst du in dieser Situation, wenn du dieses Selbsturteil für einen Moment nicht verwenden würdest?","Was bleibt von dir übrig, wenn dieses Etikett für einen Augenblick schweigt?",IDENTITY_NARRATIVE,OPENNESS,"APPRECIATION,OPENNESS,AGENCY",0.82,0.0,20,HIGH,True,DRAFT,1
CQ083,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,BOTH,Muster,Welche wiederkehrende sprachliche Form taucht in verschiedenen Situationen immer wieder auf?,Welche wiederkehrenden Worte scheinen ein vertrautes inneres Muster zu tragen?,BELIEFS,INTEGRATION,"OPENNESS,AGENCY",0.82,0.0,20,MEDIUM,False,DRAFT,1
CQ084,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,BOTH,Muster,Was löst dieses Sprachmuster typischerweise in deinem Denken oder Handeln aus?,Welche innere Bewegung folgt gewöhnlich auf diese Worte?,AGENCY,BELIEFS,"AGENCY,FREE_WILL",0.82,0.0,20,MEDIUM,False,DRAFT,1
CQ085,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,CORPORATE,System,"Welche Sprachmuster in eurem Umfeld erzeugen unbeabsichtigt Ohnmacht, Distanz oder Unklarheit?",,SYSTEMIC_CONTEXT,RELATIONSHIP,"CONNECTION,CLARITY,OPENNESS",0.82,0.0,20,MEDIUM,False,DRAFT,1
CQ086,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,CORPORATE,System,"Welche Formulierungen in eurem Team erhöhen sichtbar Verantwortung, Wahlmöglichkeiten oder Zusammenarbeit?",,SYSTEMIC_CONTEXT,AGENCY,"CONNECTION,CLARITY,OPENNESS",0.82,0.0,20,LOW,False,DRAFT,1
CQ087,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,BOTH,Verantwortung,Wo endet Verantwortung und wo beginnt Selbst- oder Fremdbeschuldigung?,"Wie fühlt sich Verantwortung an, wenn Schuld nicht mehr als Antrieb gebraucht wird?",AGENCY,SELF_APPRECIATION,"AGENCY,FREE_WILL",0.82,0.0,20,HIGH,True,DRAFT,1
CQ088,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,PRIVATE,Werte,"Welche deiner heutigen Entscheidungen passen noch zu einem früheren Wert, der vielleicht nicht mehr derselbe ist?","Welche alte Ausrichtung wirkt noch in dir, obwohl dein heutiges Inneres vielleicht längst anders gewählt hätte?",VALUES,IDENTITY_NARRATIVE,"CLARITY,FREE_WILL",0.82,0.0,20,HIGH,True,DRAFT,1
CQ089,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,PRIVATE,Sinn,"Welche Erfahrung versuchst du unbedingt zu erklären, statt sie zunächst nur wahrzunehmen?","Was verändert sich, wenn eine Erfahrung für einen Moment keine Erklärung braucht?",MEANING,REALITY_OBSERVATION,"OPENNESS,CLARITY",0.82,0.0,20,HIGH,True,DRAFT,1
CQ090,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,PRIVATE,Bedürfnisse,Welche Bedürfnisse erlaubst du anderen leichter als dir selbst?,"Wo gewährst du anderen liebevoll etwas, das du dir selbst noch vorenthältst?",NEEDS,SELF_APPRECIATION,"APPRECIATION,FREE_WILL,CLARITY",0.82,0.0,20,HIGH,True,DRAFT,1
CQ091,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,BOTH,Beziehung,Welche Zuschreibung an eine andere Person hält eure gegenwärtige Beziehung möglicherweise fest?,"Welche Geschichte über den anderen lässt wenig Raum dafür, ihn neu zu sehen?",RELATIONSHIP,ASSUMPTIONS,"CONNECTION,APPRECIATION",0.82,0.0,20,HIGH,True,DRAFT,1
CQ092,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,BOTH,Beziehung,"Was könntest du klar benennen, ohne über Motive oder Charakter des anderen zu urteilen?","Welche Wahrheit kannst du aussprechen, ohne das Wesen des anderen festzulegen?",RELATIONSHIP,CLARITY,"CONNECTION,APPRECIATION",0.82,0.0,20,MEDIUM,False,DRAFT,1
CQ093,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,PRIVATE,Freiheit,"Welche Verpflichtung in deinem Leben behandelst du sprachlich als alternativlos, obwohl sie ursprünglich aus einer Wahl entstanden ist?",Wo ist aus einem früheren Ja im Laufe der Zeit ein scheinbares Muss geworden?,FREE_WILL,DECISION,"FREE_WILL,AGENCY",0.82,0.0,20,HIGH,True,DRAFT,1
CQ094,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,BOTH,Freiheit,"Welche Konsequenz wärst du bereit zu tragen, um eine wirklich eigene Entscheidung zu treffen?","Welche Konsequenz darf Teil deiner Freiheit sein, statt ihr Gegenargument?",FREE_WILL,COMMITMENT,"FREE_WILL,AGENCY",0.82,0.0,20,HIGH,True,DRAFT,1
CQ095,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,BOTH,Angst & Handlung,"Welche Entscheidung würdest du treffen, wenn Angst mitkommen dürfte, aber nicht entscheiden müsste?","Welche Wahl bleibt wahr, wenn Angst anwesend sein darf, ohne das Steuer zu übernehmen?",EMOTIONAL_AWARENESS,FREE_WILL,"CLARITY,APPRECIATION",0.82,0.0,20,HIGH,True,DRAFT,1
CQ096,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,PRIVATE,Innerer Dialog,"Welche Stimme in dir benutzt besonders häufig muss, sollte, immer oder nie – und was möchte sie erreichen?","Welche innere Stimme spricht in engen Worten, und was versucht sie vielleicht für dich zu schützen?",BELIEFS,NEEDS,"OPENNESS,AGENCY",0.82,0.0,20,HIGH,True,DRAFT,1
CQ097,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,BOTH,Integration,Welche Erkenntnis aus diesem Gespräch verändert tatsächlich deinen nächsten Satz oder deine nächste Handlung?,"Welche Erkenntnis möchte nicht nur verstanden, sondern in deiner Sprache gelebt werden?",INTEGRATION,COMMITMENT,"AGENCY,CLARITY,OPENNESS",0.82,0.0,20,MEDIUM,False,DRAFT,1
CQ098,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,BOTH,Integration,"Welche alte Formulierung möchtest du künftig schneller bemerken, bevor du ihr automatisch folgst?","Welches alte Sprachmuster möchtest du künftig liebevoll erkennen, bevor es unbewusst führt?",INTEGRATION,BELIEFS,"AGENCY,CLARITY,OPENNESS",0.82,0.0,20,MEDIUM,False,DRAFT,1
CQ099,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,PRIVATE,Selbstbezug,Was möchtest du dir selbst in dieser Situation nicht länger beweisen müssen?,"Was darfst du aufhören beweisen zu müssen, damit dein Wert nicht länger an Leistung gebunden ist?",SELF_APPRECIATION,FREE_WILL,"APPRECIATION,AGENCY",0.82,0.0,20,HIGH,True,DRAFT,1
CQ100,P4_DEEP_ANALYTICAL,Konkret-tiefgreifend,nur bei ausreichender Kontext-/Vertrauensbasis,BOTH,Abschluss,"Wenn du deinem heutigen Denken einen neuen, ehrlicheren Satz schenken könntest: Wie würde er lauten?","Welcher Satz fühlt sich zugleich wahr, frei und liebevoll genug an, um dich weiter zu begleiten?",INTEGRATION,IDENTITY_NARRATIVE,"AGENCY,CLARITY,OPENNESS",0.82,0.0,20,MEDIUM,False,DRAFT,1
